old_url,new_url,title
/post/2016/07/01/my-first-blog/,/blog/my-first-blog/,"博客播种"
/post/2016/07/03/how-to-use-hugo/,/blog/how-to-use-hugo/,"Hugo使用记录"
/post/2016/07/14/file-record-1-the-life-of-david-gale/,/blog/file-record-1-the-life-of-david-gale/,"观《大卫·戈尔的一生》"
/post/2016/07/14/file-record-2-Braveheart/,/blog/file-record-2-braveheart/,"观《勇敢的心》"
/post/2019/09/03/some-books-excerpts/,/blog/some-books-excerpts/,"读过的书的摘录"
/post/2020/06/14/two-years-in-mindray/,/blog/two-years-in-mindray/,"在迈瑞两年工作的小结"
/post/2020/06/15/code-optimize-1-simd/,/blog/code-optimize-1-simd/,"代码优化(1)—SIMD优化"
/post/2020/06/16/code-optimize-2-table-drive-method/,/blog/code-optimize-2-table-drive-method/,"代码优化(2)—表驱动法"
/post/2020/06/17/code-optimize-2-look-up-table-method/,/blog/code-optimize-2-look-up-table-method/,"代码优化(3)—查表法与位运算"
/post/2020/08/02/note-regular-expressions-1/,/blog/note-regular-expressions-1/,"正则表达式(1)-基本规则"
/post/2020/08/02/note-regular-expressions-2/,/blog/note-regular-expressions-2/,"正则表达式(2)-常用表达式"
/post/2020/08/02/note-regular-expressions-3/,/blog/note-regular-expressions-3/,"正则表达式(3)-C++正则表达式库"
/post/2020/08/14/record-bugfix-1-strip-pre-path/,/blog/record-bugfix-1-strip-pre-path/,"去除__FILE__前缀路径"
/post/2020/08/29/cpp-learn-record/,/blog/cpp-learn-record/,"我的C++学习记录"
/post/2020/09/03/note-cpp-1-string/,/blog/note-cpp-1-string/,"笔记-C++(1)-String用法"
/post/2020/09/04/note-cpp-2-smart-pointer/,/blog/note-cpp-2-smart-pointer/,"笔记-C++(2)-smart pointer用法"
/post/2020/09/05/note-cpp-3-multi-threaded/,/blog/note-cpp-3-multi-threaded/,"笔记-C++(3)-smulti-threaded开发"
/post/2020/09/15/something-about-shenzhen-parks/,/blog/something-about-shenzhen-parks/,"深圳公园二三事"
/post/2021/01/15/something-about-nanshan-library/,/blog/something-about-nanshan-library/,"南山图书馆二三事"
/post/2021/01/16/Inert-update-strategy/,/blog/inert-update-strategy/,"编程题目(1)—惰性更新策略"
/post/2021/01/17/algo-problem-2-bit-operation/,/blog/algo-problem-2-bit-operation/,"编程题目(2)—位运算"
/post/2021/02/07/algo-problem-3-double-contest-45/,/blog/algo-problem-3-double-contest-45/,"编程题目(3)—No.45-双周赛"
/post/2021/08/02/learn-go-grammar-1/,/blog/learn-go-grammar-1/,"Go语法篇-1-反射使用"
/post/2021/08/03/learn-go-grammar-2/,/blog/learn-go-grammar-2/,"Go语法篇-2-测试编码规范"
/post/2021/08/04/learn-go-grammar-3/,/blog/learn-go-grammar-3/,"Go语法篇-3-channel的使用"
/post/2021/12/13/learn-go-design-1/,/blog/learn-go-design-1/,"Go设计篇-1-创建Http服务"
/post/2021/12/14/learn-go-design-2/,/blog/learn-go-design-2/,"Go设计篇-2-设计队列"
/post/2021/12/15/learn-go-design-3/,/blog/learn-go-design-3/,"Go设计篇-3-设计实现最小化协程池"
/post/2021/12/16/learn-go-design-4/,/blog/learn-go-design-4/,"Go设计篇-4-设计实现最小化ConcurrentMap"
/post/2022/02/18/think-method-to-learn/,/blog/think-method-to-learn/,"如何能改善自己的学习方法？"
/post/2022/02/25/china-government-economist-develop/,/blog/china-government-economist-develop/,"《置身事内》书摘与笔记"
/post/2022/03/01/learn-go-concurrency-1/,/blog/learn-go-concurrency-1/,"Go并发篇-1-并发原语"
/post/2022/04/08/go-gmp-design/,/blog/go-gmp-design/,"Go的协程调度简明概念"
/post/2022/04/10/go-gc-design/,/blog/go-gc-design/,"Go的内存管理简明概念"
/post/2022/04/10/learn-go-optimize/,/blog/learn-go-optimize/,"Go代码优化的小例子"
/post/2022/04/15/look-back-on-my-work-experience-1/,/blog/look-back-on-my-work-experience-1/,"工作经历回顾(1)-迈瑞"
/post/2022/04/17/look-back-on-my-work-experience-2/,/blog/look-back-on-my-work-experience-2/,"工作经历回顾(2)-即构"
/post/2022/04/27/knowledge-points-interviews/,/blog/knowledge-points-interviews/,"面试的知识点汇总(1)-redis篇"
/post/2022/04/29/my-resume/,/blog/my-resume/,"我的简历"
/post/2022/05/10/my-resume/,/blog/waiting-marlin/,"等待大马林鱼"
